Country Code,Region,IncomeGroup,TableName,SpecialNotes
DOM,Latin America & Caribbean,Upper middle income,Dominican Republic,
DZA,Middle East & North Africa,Lower middle income,Algeria,
EAP,,,East Asia & Pacific (excluding high income),
EAR,,,Early-demographic dividend,Early-dividend countries are mostly lower-middle-income countries further along the fertility transition. Fertility rates have fallen below four births per woman and the working-age share of the population is likely rising considerably.
EAS,,,East Asia & Pacific,East Asia and Pacific regional aggregate (includes all income levels).
ECA,,,Europe & Central Asia (excluding high income),
ECS,,,Europe & Central Asia,Europe and Central Asia regional aggregate (includes all income levels).
ECU,Latin America & Caribbean,Upper middle income,Ecuador,
EGY,Middle East & North Africa,Lower middle income,"Egypt, Arab Rep.","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30) for the years 1980 and after. The data from 1973 to 1979 refer to the calendar year data. Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1965-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
EMU,,,Euro area,Euro area aggregate.
ERI,Sub-Saharan Africa,Low income,Eritrea,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1992-1997. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
ESP,Europe & Central Asia,High income,Spain,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
EST,Europe & Central Asia,High income,Estonia,"The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
ETH,Sub-Saharan Africa,Low income,Ethiopia,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: July 7). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
EUU,,,European Union,European Union aggregate.
FCS,,,Fragile and conflict affected situations,"Fragile and conflict-affected situations aggregate. 

Countries are distinguished based on the nature and severity of issues they face. The classification uses the following categories:

- Countries with high levels of institutional and social fragility, identified based on publicly available indicators that measure the quality of policy and institutions and manifestations of fragility.
- Countries affected by violent conflict, identified based on a threshold number of conflict-related deaths relative to the population. This category includes two sub-categories based on the intensity of violence: countries in high-intensity conflict and countries in medium-intensity conflict.

For more information, please visit https://www.worldbank.org/en/topic/fragilityconflictviolence/brief/harmonized-list-of-fragile-situations."
FIN,Europe & Central Asia,High income,Finland,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
FJI,East Asia & Pacific,Upper middle income,Fiji,
FRA,Europe & Central Asia,High income,France,"The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
FRO,Europe & Central Asia,High income,Faroe Islands,
FSM,East Asia & Pacific,Lower middle income,"Micronesia, Fed. Sts.",Fiscal year ends on September 30; reporting period for national accounts data: FY. The source for national accounts data is the Pacific and Virgin Islands Training Initiative.
GAB,Sub-Saharan Africa,Upper middle income,Gabon,
GBR,Europe & Central Asia,High income,United Kingdom,
GEO,Europe & Central Asia,Upper middle income,Georgia,"Includes self-governed areas only, which mostly exclude Abkhazia and South Ossetia, but small areas in Abkhazia and South Ossetia are included before 2008 or 2009 because of the changes in self-governed areas."
GHA,Sub-Saharan Africa,Lower middle income,Ghana,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1974-1987. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
GIB,Europe & Central Asia,High income,Gibraltar,The DEC conversion is not reported when national accounts data are unavailable.
GIN,Sub-Saharan Africa,Low income,Guinea,
GMB,Sub-Saharan Africa,Low income,"Gambia, The",
GNB,Sub-Saharan Africa,Low income,Guinea-Bissau,
GNQ,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,
GRC,Europe & Central Asia,High income,Greece,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
GRD,Latin America & Caribbean,Upper middle income,Grenada,
GRL,Europe & Central Asia,High income,Greenland,
GTM,Latin America & Caribbean,Upper middle income,Guatemala,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1985-2003. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
GUM,East Asia & Pacific,High income,Guam,
GUY,Latin America & Caribbean,Upper middle income,Guyana,
HIC,,,High income,"High income group aggregate. High-income economies are those in which 2021 GNI per capita was more than $13,205."
HKG,East Asia & Pacific,High income,"Hong Kong SAR, China","On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying."
HND,Latin America & Caribbean,Lower middle income,Honduras,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1988-1989. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
HPC,,,Heavily indebted poor countries (HIPC),"The Heavily Indebted Poor Countries (HIPC) refer to countries that participated in the HIPC Initiative, launched in 1996 by the IMF and World Bank to reduce external debt burdens of the most heavily indebted poor countries at that time to sustainable levels. To date, the majority of the countries completed the program, receiving 76 billion in debt-service relief over time. For more details, visit https://www.imf.org/en/About/Factsheets/Sheets/2016/08/01/16/11/Debt-Relief-Under-the-Heavily-Indebted-Poor-Countries-Initiative.
Data are aggregates for HIPC."
HRV,Europe & Central Asia,High income,Croatia,
HTI,Latin America & Caribbean,Lower middle income,Haiti,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: September 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
HUN,Europe & Central Asia,High income,Hungary,
IBD,,,IBRD only,IBRD only group aggregate.
IBT,,,IDA & IBRD total,"IDA and IBRD total group aggregate (includes IDA only, IDA blend, and IBRD only)."
IDA,,,IDA total,IDA total group aggregate (includes IDA only and IDA blend).
IDB,,,IDA blend,IDA blend group aggregate.
IDN,East Asia & Pacific,Lower middle income,Indonesia,Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted.
IDX,,,IDA only,IDA only group aggregate.
IMN,Europe & Central Asia,High income,Isle of Man,"Classification for years after 2012 was adjusted and figures were re-estimated by the World Bank, based on the detailed data published by the Cabinet Office, and are not consistent with data for 2011 and before."
IND,South Asia,Lower middle income,India,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 31). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
IRL,Europe & Central Asia,High income,Ireland,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
IRN,Middle East & North Africa,Lower middle income,"Iran, Islamic Rep.","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20).  

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1972-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
IRQ,Middle East & North Africa,Upper middle income,Iraq,
ISL,Europe & Central Asia,High income,Iceland,
ISR,Middle East & North Africa,High income,Israel,
ITA,Europe & Central Asia,High income,Italy,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
JAM,Latin America & Caribbean,Upper middle income,Jamaica,
JOR,Middle East & North Africa,Upper middle income,Jordan,
JPN,East Asia & Pacific,High income,Japan,Fiscal year end: March 31; reporting period for national accounts data: CY.
KAZ,Europe & Central Asia,Upper middle income,Kazakhstan,
KEN,Sub-Saharan Africa,Lower middle income,Kenya,Fiscal year end: June 30; reporting period for national accounts data: CY.
KGZ,Europe & Central Asia,Lower middle income,Kyrgyz Republic,
KHM,East Asia & Pacific,Lower middle income,Cambodia,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1963-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
KIR,East Asia & Pacific,Lower middle income,Kiribati,
KNA,Latin America & Caribbean,High income,St. Kitts and Nevis,
KOR,East Asia & Pacific,High income,"Korea, Rep.",
KWT,Middle East & North Africa,High income,Kuwait,
LAC,,,Latin America & Caribbean (excluding high income),
LAO,East Asia & Pacific,Lower middle income,Lao PDR,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
LBN,Middle East & North Africa,Lower middle income,Lebanon,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1984-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
LBR,Sub-Saharan Africa,Low income,Liberia,National accounts data are provided in the US dollar.
LBY,Middle East & North Africa,Upper middle income,Libya,
LCA,Latin America & Caribbean,Upper middle income,St. Lucia,
LCN,,,Latin America & Caribbean,
LDC,,,Least developed countries: UN classification,
LIC,,,Low income,"Low income group aggregate. Low-income economies are those in which 2021 GNI per capita was $1,085 or less."
LIE,Europe & Central Asia,High income,Liechtenstein,
LKA,South Asia,Lower middle income,Sri Lanka,
LMC,,,Lower middle income,"Lower middle income group aggregate. Lower-middle-income economies are those in which 2021 GNI per capita was between $1,086 and $4,255."
LMY,,,Low & middle income,"Low and middle-income group aggregate. Low and middle-income economies are those in which 2021 GNI per capita was less than $13,205."
LSO,Sub-Saharan Africa,Lower middle income,Lesotho,Fiscal year end: March 31; reporting period for national accounts data: CY.
LTE,,,Late-demographic dividend,Late-dividend countries are mostly upper middle-income countries. Fertility rates are typically above replacement levels of 2.1 births per woman but continue to decline with shrinking working-age shares and rapid aging.
LTU,Europe & Central Asia,High income,Lithuania,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2015: 1 euro = 3.45280 Lithuanian litas. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
LUX,Europe & Central Asia,High income,Luxembourg,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
LVA,Europe & Central Asia,High income,Latvia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2014: 1 euro = 0.702804 Latvian lats. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010."
MAC,East Asia & Pacific,High income,"Macao SAR, China","On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China."
MAF,Latin America & Caribbean,High income,St. Martin (French part),
MAR,Middle East & North Africa,Lower middle income,Morocco,
MCO,Europe & Central Asia,High income,Monaco,
MDA,Europe & Central Asia,Upper middle income,Moldova,"Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects' growth rates of whole Moldova."
MDG,Sub-Saharan Africa,Low income,Madagascar,
MDV,South Asia,Upper middle income,Maldives,
MEA,,,Middle East & North Africa,Middle East and North Africa regional aggregate (includes all income levels).
MEX,Latin America & Caribbean,Upper middle income,Mexico,
MHL,East Asia & Pacific,Upper middle income,Marshall Islands,Fiscal year ends on September 30; reporting period for national accounts data: FY.
MIC,,,Middle income,"Middle income group aggregate. Middle-income economies are those in which 2021 GNI per capita was between $1,086 and $13,205."
MKD,Europe & Central Asia,Upper middle income,North Macedonia,
MLI,Sub-Saharan Africa,Low income,Mali,
MLT,Middle East & North Africa,High income,Malta,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. National accounts data source from 1995 to 2015 is Eurostat; prior to 1995 is UN."
MMR,East Asia & Pacific,Lower middle income,Myanmar,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: September 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 	  

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2014. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
MNA,,,Middle East & North Africa (excluding high income),
MNE,Europe & Central Asia,Upper middle income,Montenegro,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005."
MNG,East Asia & Pacific,Lower middle income,Mongolia,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1991-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
MNP,East Asia & Pacific,High income,Northern Mariana Islands,
MOZ,Sub-Saharan Africa,Low income,Mozambique,
MRT,Sub-Saharan Africa,Lower middle income,Mauritania,National account data were adjusted to reflect the new banknote (1 new ouguiya = 10 old ouguiya)
MUS,Sub-Saharan Africa,Upper middle income,Mauritius,
MWI,Sub-Saharan Africa,Low income,Malawi,
MYS,East Asia & Pacific,Upper middle income,Malaysia,
NAC,,,North America,North America regional aggregate. There are no economies in North America classified as low or middle income.
NAM,Sub-Saharan Africa,Upper middle income,Namibia,Fiscal year end: March 31; reporting period for national accounts data: CY.
NCL,East Asia & Pacific,High income,New Caledonia,
NER,Sub-Saharan Africa,Low income,Niger,
NGA,Sub-Saharan Africa,Lower middle income,Nigeria,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1970-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
NIC,Latin America & Caribbean,Lower middle income,Nicaragua,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1988-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
NLD,Europe & Central Asia,High income,Netherlands,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
NOR,Europe & Central Asia,High income,Norway,
NPL,South Asia,Lower middle income,Nepal,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: July 14). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
